iter	Passed	Remaining
0	1	105
1	1	93
2	2	88
3	3	80
4	4	78
5	4	76
6	5	78
7	6	80
8	7	78
9	8	77
10	9	75
11	10	74
12	10	73
13	11	71
14	12	70
15	13	69
16	14	68
17	14	67
18	15	68
19	17	68
20	18	67
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
